timestamp, index, power.draw [W], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], memory.used [MiB]
2026/09/19 23:34:56.587, 1, 16.64, 0, 47, 180, 39359
2026/09/19 23:34:57.587, 0, 34.81, 0, 47, 180, 39377
2026/09/19 23:34:57.587, 1, 17.64, 0, 47, 180, 39359
2026/09/19 23:34:58.587, 0, 34.92, 0, 46, 180, 39377
2026/09/19 23:34:58.588, 1, 17.52, 0, 47, 180, 39359
2026/09/19 23:34:59.588, 0, 34.14, 0, 46, 180, 39377
2026/09/19 23:34:59.588, 1, 16.64, 0, 47, 180, 39359
2026/09/19 23:35:00.588, 0, 35.60, 0, 46, 180, 39377
2026/09/19 23:35:00.588, 1, 15.84, 0, 47, 180, 39359
2026/09/19 23:35:01.588, 0, 37.48, 0, 46, 180, 39377
2026/09/19 23:35:01.588, 1, 15.83, 0, 47, 180, 39359
2026/09/19 23:35:02.588, 0, 35.36, 0, 46, 180, 39377
2026/09/19 23:35:02.589, 1, 15.83, 0, 47, 180, 39359
2026/09/19 23:35:03.589, 0, 35.27, 0, 46, 180, 39377
2026/09/19 23:35:03.589, 1, 19.09, 0, 47, 180, 39359
2026/09/19 23:35:04.589, 0, 33.91, 0, 46, 180, 39377
2026/09/19 23:35:04.589, 1, 15.78, 0, 47, 180, 39359
2026/09/19 23:35:05.589, 0, 34.40, 0, 46, 180, 39377
2026/09/19 23:35:05.589, 1, 15.89, 0, 47, 180, 39359
2026/09/19 23:35:06.590, 0, 35.02, 0, 46, 180, 39377
2026/09/19 23:35:06.590, 1, 17.40, 0, 47, 180, 39359
2026/09/19 23:35:07.590, 0, 34.38, 0, 46, 180, 39377
2026/09/19 23:35:07.590, 1, 16.59, 0, 46, 180, 39359
2026/09/19 23:35:08.590, 0, 39.39, 0, 46, 450, 39377
2026/09/19 23:35:08.590, 1, 17.46, 0, 46, 180, 39359
2026/09/19 23:35:09.590, 0, 98.38, 0, 47, 2617, 40401
2026/09/19 23:35:09.590, 1, 51.33, 1, 47, 2610, 39359
2026/09/19 23:35:10.590, 0, 98.12, 0, 47, 2617, 40401
2026/09/19 23:35:10.591, 1, 82.82, 1, 48, 2610, 39359
2026/09/19 23:35:11.591, 0, 98.40, 0, 47, 2617, 40401
2026/09/19 23:35:11.591, 1, 82.69, 1, 48, 2610, 40383
2026/09/19 23:35:12.591, 0, 98.23, 0, 47, 2617, 40401
2026/09/19 23:35:12.591, 1, 82.57, 1, 48, 2610, 40383
2026/09/19 23:35:13.591, 0, 98.51, 0, 47, 2617, 40401
2026/09/19 23:35:13.591, 1, 82.63, 0, 48, 2610, 40383
2026/09/19 23:35:14.591, 0, 98.37, 0, 47, 2617, 41425
2026/09/19 23:35:14.592, 1, 82.48, 1, 48, 2610, 40383
2026/09/19 23:35:15.592, 0, 98.21, 0, 47, 2617, 41425
2026/09/19 23:35:15.592, 1, 82.38, 0, 48, 2610, 41407
2026/09/19 23:35:16.592, 0, 99.85, 1, 47, 2625, 41567
2026/09/19 23:35:16.592, 1, 82.28, 2, 48, 2610, 41549
2026/09/19 23:35:17.592, 0, 101.88, 1, 47, 2632, 47851
2026/09/19 23:35:17.592, 1, 85.14, 1, 48, 2625, 47833
2026/09/19 23:35:18.592, 0, 274.66, 93, 53, 2737, 47851
2026/09/19 23:35:18.593, 1, 164.89, 61, 52, 2872, 47833
2026/09/19 23:35:19.593, 0, 286.74, 92, 54, 2790, 48875
2026/09/19 23:35:19.593, 1, 299.60, 40, 52, 2775, 47833
2026/09/19 23:35:20.593, 0, 300.20, 79, 54, 2797, 48875
2026/09/19 23:35:20.593, 1, 287.98, 93, 55, 2812, 47833
2026/09/19 23:35:21.593, 0, 313.69, 8, 51, 2737, 48875
2026/09/19 23:35:21.593, 1, 279.17, 99, 55, 2842, 48857
2026/09/19 23:35:22.594, 0, 298.10, 99, 55, 2752, 48875
2026/09/19 23:35:22.594, 1, 290.61, 0, 51, 2782, 48857
