tick,wall_layer_loop_s,driver_request_to_reply_s,boots,eval_ms,boot_ms,norm_boot_ms,timer_sum_ms_NOT_A_WALL_CLOCK,recorder_ms,enc_pt_ms,pt_cache_calls,pt_cache_misses,gpu0_pool_used_gb,gpu0_pool_reserved_gb,gpu0_device_used_gb,gpu1_pool_used_gb,gpu1_pool_reserved_gb,gpu1_device_used_gb,lanes,generating_lanes,raw_top1_agree,pick_agree,relerr_rms_median,relerr_rms_p90,relerr_rms_max,bootstraps_recorded,max_overflow_in_tick,bootstraps_over_512_in_tick
43,176.33,188.0,529,119756,83787,45000,203544,3310,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,46,64,64,0.0016055000000000002,0.003983,0.010222,481,499,0
44,176.1,188.0,529,119528,83650,44939,203179,3298,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,46,64,64,0.0016055,0.003693,0.008556,481,524,1
45,175.625,188.0,529,119099,83656,44911,202756,3233,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,46,63,64,0.001754,0.005063,0.025769,481,485,0
46,174.952,188.0,529,118524,83429,44866,201954,3104,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,47,63,64,0.001643,0.004175,0.021761,481,468,0
47,175.002,188.0,529,118554,83325,44866,201881,3106,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,63,64,0.002323,0.004994,0.009175,481,470,0
48,175.662,188.0,529,119157,83526,44901,202684,3204,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.001706,0.004036,0.011234,481,492,0
49,175.619,188.0,529,119057,83538,44905,202596,3248,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.001627,0.005068,0.009013,481,467,0
50,175.615,188.0,529,119086,83476,44864,202563,3214,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0016685,0.00363,0.00763,481,514,1
51,175.591,188.0,529,119034,83643,44942,202678,3243,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.001533,0.00515,0.010963,481,474,0
52,175.298,188.0,529,118728,83596,44933,202325,3214,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0020534999999999998,0.005282,0.008002,481,525,1
53,174.918,188.0,529,118480,83317,44873,201798,3118,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0018835,0.004923,0.008997,481,492,0
54,175.638,188.0,529,119117,83516,44914,202634,3228,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.00196,0.004206,0.007216,481,530,2
55,176.248,188.0,529,119662,83660,44948,203323,3289,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0022995000000000003,0.006224,0.018365,481,498,0
56,175.795,188.0,529,119182,83607,44946,202790,3292,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0016085000000000001,0.003759,0.015923,481,465,0
57,174.953,188.0,529,118513,83352,44859,201867,3121,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0019585,0.003809,0.008101,481,466,0
58,175.43,188.0,529,118865,83551,44927,202418,3256,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,63,0.0022505,0.004386,0.014137,481,534,1
59,176.288,188.0,529,119713,83645,44996,203358,3270,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0021850000000000003,0.004203,0.011761,481,465,0
60,176.183,188.0,529,119592,83725,44930,203318,3238,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.0018679999999999999,0.004607,0.010685,481,519,1
61,175.463,188.0,529,118922,83560,44927,202483,3213,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,63,63,0.00204,0.007848,0.011736,481,467,0
62,175.418,188.0,529,118906,83517,44909,202424,3222,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,48,64,64,0.001892,0.004677,0.018544,481,513,1
63,175.561,188.0,529,118975,83697,44991,202673,3308,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,49,64,64,0.001928,0.004467,0.010899,481,490,0
64,176.29,188.0,529,119694,83711,44957,203406,3303,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,50,64,64,0.0019779999999999997,0.004751,0.01326,481,477,0
65,175.343,188.0,529,118769,83618,44950,202388,3247,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,50,63,64,0.002097,0.005068,0.010494,481,502,0
66,176.043,188.0,529,119494,83684,44943,203179,3238,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,50,64,64,0.0015495,0.005135,0.01253,481,479,0
67,175.745,188.0,529,119156,83637,44912,202794,3239,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,52,64,64,0.00174,0.004945,0.021391,481,459,0
68,175.867,188.0,529,119309,83665,44949,202975,3239,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,52,64,64,0.0029230000000000003,0.006217,0.00979,481,493,0
69,175.414,188.0,529,118888,83611,44933,202500,3230,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,53,64,64,0.0017959999999999999,0.004586,0.031406,481,491,0
70,175.314,188.0,529,118749,83553,44923,202303,3224,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,55,64,64,0.0017044999999999999,0.004646,0.009494,481,473,0
71,175.244,188.0,529,118661,83676,44978,202338,3251,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,56,62,63,0.0025685,0.005529,0.012026,481,504,0
72,175.306,188.0,529,118732,83598,44916,202331,3259,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,56,64,63,0.0020055,0.005159,0.011705,481,507,0
73,175.281,188.0,529,118670,83597,44931,202268,3240,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,57,64,64,0.0019385000000000001,0.005727,0.015821,481,500,0
74,175.553,188.0,529,118989,83583,44919,202572,3261,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,58,64,64,0.0019515000000000001,0.00477,0.011951,481,490,0
75,176.189,188.0,529,119621,83711,44990,203333,3280,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,59,64,64,0.0021285,0.005158,0.016399,481,516,1
76,175.898,188.0,529,119334,83804,44985,203139,3267,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,61,64,63,0.0020654999999999996,0.005146,0.009939,481,487,0
77,175.862,188.0,529,119329,83598,44938,202928,3250,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,62,64,63,0.0020825,0.006058,0.01156,481,491,0
78,176.078,188.0,529,119514,83546,44918,203061,3231,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,63,64,64,0.0018375000000000002,0.004637,0.025975,481,534,1
79,175.494,188.0,529,118913,83567,44883,202481,3235,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022315,0.005436,0.01153,481,479,0
