utc,pid,serve_dir,served,vmrss_kb,vmhwm_kb,rssanon_kb,mappings,gpu0_used_mib,gpu1_used_mib
16:54:00Z,204307,/root/demo/s37/serve_LONG/serve,28,179871788,179871788,179403604,1252,76539,75497
16:55:00Z,204307,/root/demo/s37/serve_LONG/serve,28,179871788,179871788,179403604,1252,76539,75497
16:56:00Z,204307,/root/demo/s37/serve_LONG/serve,29,179871788,179871788,179403604,1252,76539,75497
16:57:00Z,204307,/root/demo/s37/serve_LONG/serve,29,179871788,179871788,179403604,1252,76539,75497
16:58:00Z,204307,/root/demo/s37/serve_LONG/serve,29,179871788,179871788,179403604,1252,76539,75497
16:59:00Z,204307,/root/demo/s37/serve_LONG/serve,30,179871788,179871788,179403604,1252,76539,75497
17:00:00Z,204307,/root/demo/s37/serve_LONG/serve,30,179871788,179871788,179403604,1252,76539,75497
17:01:01Z,204307,/root/demo/s37/serve_LONG/serve,30,179871788,179871788,179403604,1252,76539,75497
17:02:01Z,204307,/root/demo/s37/serve_LONG/serve,31,179871788,179871788,179403604,1252,76539,75497
17:03:01Z,204307,/root/demo/s37/serve_LONG/serve,31,179871788,179871788,179403604,1252,76539,75497
17:04:01Z,204307,/root/demo/s37/serve_LONG/serve,31,179871788,179871788,179403604,1252,76539,75497
17:05:01Z,204307,/root/demo/s37/serve_LONG/serve,31,179871788,179871788,179403604,1252,76539,75497
17:06:01Z,204307,/root/demo/s37/serve_LONG/serve,32,179871788,179871788,179403604,1252,76539,75497
17:07:01Z,204307,/root/demo/s37/serve_LONG/serve,32,179871788,179871788,179403604,1252,76539,75497
17:08:01Z,204307,/root/demo/s37/serve_LONG/serve,32,179871788,179871788,179403604,1252,76539,75497
17:09:01Z,204307,/root/demo/s37/serve_LONG/serve,33,179871788,179871788,179403604,1252,76539,75497
17:10:01Z,204307,/root/demo/s37/serve_LONG/serve,33,179871788,179871788,179403604,1252,76539,75497
17:11:01Z,204307,/root/demo/s37/serve_LONG/serve,33,179871788,179871788,179403604,1252,76539,75497
17:12:01Z,204307,/root/demo/s37/serve_LONG/serve,34,179871788,179871788,179403604,1252,76539,75497
17:13:01Z,204307,/root/demo/s37/serve_LONG/serve,34,179871788,179871788,179403604,1252,76539,75497
17:14:01Z,204307,/root/demo/s37/serve_LONG/serve,34,179871788,179871788,179403604,1252,76539,75497
17:15:01Z,204307,/root/demo/s37/serve_LONG/serve,35,179871788,179871788,179403604,1252,76539,75497
